siteID,year,annualMean_temp
ABBY,2016,0.6598969031870114
ABBY,2017,10.023514686548642
ABBY,2018,10.280499364239216
ABBY,2019,8.679293985548314
ABBY,2020,9.572944481581363
DSNY,2015,21.17365647490259
DSNY,2016,24.172356297957737
DSNY,2017,23.10040987524161
DSNY,2018,22.279753555333862
DSNY,2019,23.10186180665138
DSNY,2020,23.116188876734807
HARV,2015,7.629830335478727
HARV,2016,7.265122081037431
HARV,2017,8.271648774948384
HARV,2018,9.022986391351061
HARV,2019,7.445592703354727
HARV,2020,9.294947758780971
JERC,2015,16.129194989893158
JERC,2016,17.802509937217973
JERC,2017,21.100701731620806
JERC,2018,18.993303669366824
JERC,2019,21.099161726325683
JERC,2020,19.74186191054596
MLBS,2015,7.456428462230216
MLBS,2016,1.6697078626481077
MLBS,2017,10.433293093292296
MLBS,2018,9.740260442960338
MLBS,2019,9.966095077913412
MLBS,2020,9.794710573974003
ONAQ,2015,3.813164417132216
ONAQ,2016,9.324502624480571
ONAQ,2017,10.003073955702753
ONAQ,2018,9.163577475353621
ONAQ,2019,8.05817164567417
ONAQ,2020,10.143471077812226
SCBI,2015,11.073995066632497
SCBI,2016,13.7696286191416
SCBI,2017,11.666036435442022
SCBI,2018,12.064017843783066
SCBI,2019,12.743911440848418
SCBI,2020,12.532362476949617
UNDE,2015,0.8052325194150983
UNDE,2016,3.5166392890534426
UNDE,2017,4.719555330143794
UNDE,2018,5.154441552661941
UNDE,2019,4.263400097954123
UNDE,2020,5.735150127453319
