siteID,HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,publicationDate
DSNY,000.040,CFGLOC101013,"Disney Relative Humidity, Tower",2010-01-01T00:00:00Z,NA,TOWER100302,Disney Tower,2010-01-01T00:00:00Z,NA,2.13,-0.09,8.07,0,0,0,28.125053,-81.436193,20.33,20210319T204412Z
DSNY,003.000,CFGLOC101301,"Disney Relative Humidity, Soil",2010-01-01T00:00:00Z,NA,SOILPL100337,"Disney Soil Plot, SP3",2010-01-01T00:00:00Z,NA,6.24,2.4,0.72,0,0,0,28.12512,-81.434982,19.88,20210319T204412Z
STER,000.040,CFGLOC101018,"Sterling Relative Humidity, Tower",2010-01-01T00:00:00Z,NA,TOWER100002,Sterling Tower,2010-01-01T00:00:00Z,NA,-0.89,0.4,7.78,0,0,0,40.461927,-103.02929,1364.63,20210319T234623Z
STER,003.000,CFGLOC101311,"Sterling Relative Humidity, Soil",2010-01-01T00:00:00Z,NA,SOILPL100097,"Sterling Soil Plot, SP3",2010-01-01T00:00:00Z,NA,8.55,0.52,0.69,0,0,0,40.46189,-103.03079,1363.22,20210319T234623Z
OAES,000.040,CFGLOC101005,"Klemme Range Relative Humidity, Tower",2010-01-01T00:00:00Z,NA,TOWER100734,Klemme Range Tower,2010-01-01T00:00:00Z,NA,2.13,-0.79,8.41,0,0,0,35.4106,-99.058779,518.94,20210309T182211Z
OAES,003.000,CFGLOC101306,"Klemme Range Relative Humidity, Soil",2010-01-01T00:00:00Z,NA,SOILPL100732,"Klemme Range Soil Plot, SP3",2010-01-01T00:00:00Z,NA,1.22,6.18,0.56,0,0,0,35.40959,-99.058507,522,20210309T182211Z
ABBY,000.040,CFGLOC102032,"Abby Road Relative Humidity, Tower",2010-01-01T00:00:00Z,NA,TOWER102005,Abby Road Tower,2010-01-01T00:00:00Z,NA,1.61,-0.89,18.38,0,0,0,45.762439,-122.330317,364.55,20210324T151533Z
ABBY,000.050,CFGLOC102032,"Abby Road Relative Humidity, Tower",2010-01-01T00:00:00Z,NA,TOWER102005,Abby Road Tower,2010-01-01T00:00:00Z,NA,1.61,-0.89,18.38,0,0,0,45.762439,-122.330317,364.55,20210324T151533Z
ABBY,003.000,CFGLOC102122,"Abby Road Relative Humidity, Soil",2010-01-01T00:00:00Z,NA,SOILPL102091,"Abby Road Soil Plot, SP3",2010-01-01T00:00:00Z,NA,2.83,6.18,0.7,0,0,0,45.761533,-122.329712,368.2,20210324T151533Z
